,Employee Name,Employee Number,Position,certificate A,Performance Score,years employed,skill A,skill B level,cognitive score,result validating,self organizing,value adding,stakeholder involving,regularly reflecting,networking,societally responsible,sharing,visionair,constantly learning
0,"Brown, Mia",1103024456,Accountant I,no,Fully Meets,9.0,0,1,5,5.7,5.8,6.0,5.8,6.0,5.5,5.1,5.6,6.0,5.7
1,"LaRotonda, William  ",1106026572,Accountant I,yes,Fully Meets,4.0,10,2,5,5.8,5.1,5.7,5.7,5.3,5.4,5.4,5.8,5.5,5.7
2,"Steans, Tyrone  ",1302053333,Accountant I,yes,Fully Meets,3.0,10,0,5,5.6,5.4,5.5,5.7,5.2,5.2,5.8,5.8,5.5,5.3
3,"Howard, Estelle",1211050782,Administrative Assistant,no,N/A- too early to review,0.0,0,1,3,3.6,3.1,3.2,3.5,3.2,3.0,3.6,3.2,3.8,3.8
4,"Singh, Nan ",1307059817,Administrative Assistant,yes,N/A- too early to review,3.0,10,0,3,3.1,3.5,3.7,3.8,3.3,3.2,3.7,3.8,3.4,3.8
5,"Smith, Leigh Ann",711007713,Administrative Assistant,no,Fully Meets,2.0,0,1,5,5.9,5.5,5.7,5.7,5.0,6.0,5.7,5.8,5.2,5.4
6,"LeBlanc, Brandon  R",1102024115,Shared Services Manager,no,Fully Meets,2.0,0,1,5,5.2,5.9,6.0,5.4,5.3,5.2,5.9,5.8,5.5,5.7
7,"Quinn, Sean",1206043417,Shared Services Manager,no,Fully Meets,4.0,0,1,5,5.1,5.6,6.0,5.3,5.3,5.2,5.9,5.3,5.4,5.3
8,"Boutwell, Bonalyn",1307060188,Sr. Accountant,no,90-day meets,3.0,0,1,4,4.5,4.0,4.1,4.1,4.5,4.8,4.4,4.6,4.1,4.2
9,"Foster-Baker, Amy",1201031308,Sr. Accountant,no,Fully Meets,9.0,0,1,5,5.6,5.1,5.8,5.2,5.8,5.3,5.8,5.5,5.2,5.9
10,"King, Janet",1001495124,President & CEO,no,Fully Meets,5.0,0,1,5,5.8,5.2,5.0,5.6,5.0,5.5,5.6,6.0,5.1,5.2
11,"Zamora, Jennifer",1112030816,CIO,yes,Exceptional,8.0,10,0,6,6.4,6.0,6.9,7.0,6.9,6.7,6.7,6.2,6.7,6.2
12,"Becker, Renee",1102024056,Database Administrator,yes,Fully Meets,1.0,10,0,5,5.8,5.6,5.9,5.9,5.2,5.4,5.5,5.4,5.0,5.6
13,"Goble, Taisha",905013738,Database Administrator,yes,Fully Meets,0.0,10,0,5,5.1,5.1,5.7,5.2,5.2,5.8,5.3,5.7,5.1,5.1
14,"Hernandez, Daniff",1410071156,Database Administrator,no,N/A- too early to review,0.0,0,1,3,3.1,3.8,3.3,4.0,3.2,3.3,4.0,3.0,3.1,3.9
15,"Horton, Jayne",1105025718,Database Administrator,yes,N/A- too early to review,3.0,10,0,3,3.5,3.8,3.2,3.2,3.3,3.3,3.3,3.0,3.2,3.2
16,"Johnson, Noelle ",1003018246,Database Administrator,no,90-day meets,3.0,0,1,4,4.1,4.1,4.4,4.8,4.3,4.5,4.7,4.7,4.4,4.9
17,"Murray, Thomas",1406068403,Database Administrator,yes,Exceptional,3.0,10,2,6,6.0,6.6,6.3,6.2,6.8,6.7,6.8,6.9,6.2,6.7
18,"Pearson, Randall",1102023965,Database Administrator,no,Fully Meets,1.0,0,1,5,5.3,5.5,5.9,5.2,5.9,5.8,5.3,5.3,5.7,5.1
19,"Petrowsky, Thelma",1108027853,Database Administrator,no,Exceptional,3.0,0,1,6,6.4,6.7,7.0,6.5,6.3,6.5,6.1,6.5,6.7,6.0
20,"Roby, Lori ",1407068885,Database Administrator,no,Fully Meets,3.0,0,1,5,5.1,5.7,5.4,5.9,5.5,5.2,5.8,5.3,5.7,5.5
21,"Rogers, Ivan",1203032255,Database Administrator,no,N/A- too early to review,3.0,0,1,3,3.8,3.8,3.9,3.8,3.8,3.1,3.6,3.4,3.1,3.5
22,"Salter, Jason",1111030148,Database Administrator,yes,90-day meets,1.0,10,2,4,4.8,4.5,4.4,4.9,4.1,4.9,4.2,4.3,4.5,4.8
23,"Simard, Kramer",808010278,Database Administrator,no,90-day meets,3.0,0,1,4,4.6,4.8,4.3,4.3,4.6,4.3,4.9,4.1,4.6,4.7
24,"Zhou, Julia",1110029732,Database Administrator,yes,90-day meets,3.0,10,0,4,4.9,4.7,4.2,4.2,4.2,4.9,4.8,4.7,4.6,4.3
25,"Foss, Jason",1192991000,IT Director,yes,Exceptional,7.0,10,0,6,6.9,6.8,6.1,6.8,6.9,6.4,6.1,6.4,6.8,6.4
26,"Roup,Simon",1106026933,IT Manager - DB,yes,Fully Meets,5.0,10,0,5,5.8,5.1,5.6,5.1,5.4,5.4,5.2,5.7,5.4,5.9
27,"Ruiz, Ricardo",1001175250,IT Manager - DB,yes,Fully Meets,4.0,10,2,5,5.6,5.0,5.4,5.1,5.6,5.7,5.5,5.5,5.8,5.4
28,"Monroe, Peter",1011022863,IT Manager - Infra,no,Needs Improvement,6.0,0,1,2,2.7,2.7,2.6,2.7,2.4,2.1,2.5,2.5,2.2,2.1
29,"Dougall, Eric",1101023754,IT Manager - Support,yes,Exceeds,4.0,10,0,7,7.9,7.9,7.0,7.6,7.9,7.1,7.2,7.9,7.8,7.4
30,"Clayton, Rick",1301052902,IT Support,yes,Fully Meets,5.0,10,0,5,5.3,5.4,5.4,5.2,5.7,5.8,5.2,5.1,5.7,5.1
31,"Galia, Lisa",1501072093,IT Support,yes,Fully Meets,8.0,10,0,5,5.4,5.4,5.9,5.5,5.1,5.2,5.9,5.7,5.4,5.5
32,"Lindsay, Leonara ",602000312,IT Support,yes,Exceeds,7.0,10,0,7,7.3,7.3,7.7,7.8,7.6,7.2,7.6,7.7,7.9,7.6
33,"Soto, Julia ",1203032263,IT Support,no,Fully Meets,6.0,0,1,5,5.2,5.9,5.6,5.5,5.3,6.0,5.6,5.6,5.4,5.2
34,"Bacong, Alejandro ",1212052023,Network Engineer,yes,90-day meets,3.0,10,2,4,5.0,4.2,4.3,4.5,4.5,4.7,4.9,5.0,4.5,4.4
35,"Cisco, Anthony",1102024173,Network Engineer,no,N/A- too early to review,3.0,0,1,3,4.0,3.8,3.2,3.8,3.6,3.4,3.4,3.9,3.7,3.3
36,"Dolan, Linda",1101023540,Network Engineer,no,90-day meets,3.0,0,1,4,4.5,4.6,4.7,4.6,4.9,4.1,4.4,4.7,4.2,4.9
37,"Gonzalez, Maria",1988299991,Network Engineer,yes,Fully Meets,3.0,10,3,5,5.6,5.2,5.5,5.3,6.0,5.2,6.0,5.6,5.4,5.2
38,"Merlos, Carlos",1012023013,Network Engineer,yes,N/A- too early to review,3.0,10,0,3,3.2,3.8,3.7,3.2,3.9,3.3,3.3,3.6,3.4,3.4
39,"Morway, Tanya",1001956578,Network Engineer,no,Fully Meets,3.0,0,1,5,5.8,5.0,6.0,5.3,5.5,5.4,5.7,5.4,5.0,5.3
40,"Shepard, Anita ",906014183,Network Engineer,no,Fully Meets,3.0,0,1,5,5.3,5.8,5.8,5.5,5.6,5.3,5.4,5.9,5.5,5.1
41,"Tredinnick, Neville ",1104025466,Network Engineer,no,Fully Meets,0.0,0,1,5,5.9,5.1,5.6,5.3,5.5,6.0,5.7,5.9,5.5,5.1
42,"Turpin, Jumil",1411071506,Network Engineer,no,N/A- too early to review,3.0,0,1,3,3.0,3.8,3.3,3.8,3.2,3.3,3.1,3.5,3.4,3.9
43,"Ait Sidi, Karthikeyan   ",1307060199,Sr. DBA,no,Fully Meets,1.0,0,1,5,5.3,5.5,5.4,5.3,5.7,5.5,5.5,5.7,5.5,5.3
44,"Carr, Claudia  N",1010022337,Sr. DBA,yes,N/A- too early to review,1.0,10,0,3,3.1,3.5,3.4,3.3,3.5,4.0,3.6,3.9,3.1,3.6
45,"Favis, Donald  ",1412071562,Sr. DBA,yes,Fully Meets,2.0,10,0,5,5.5,5.2,5.5,5.8,5.2,5.7,5.4,5.6,5.9,5.7
46,"Roehrich, Bianca",1111030266,Sr. DBA,yes,90-day meets,1.0,10,0,4,4.4,4.6,4.9,4.6,4.9,4.2,4.7,4.0,4.4,4.5
47,"Daniele, Ann  ",1411071312,Sr. Network Engineer,no,Fully Meets,3.0,0,1,5,5.9,5.8,5.6,5.5,5.3,5.0,5.4,5.8,5.3,5.2
48,"Lajiri,  Jyoti",1108028108,Sr. Network Engineer,no,Fully Meets,3.0,0,1,5,5.1,5.1,5.4,5.9,5.5,5.4,6.0,5.9,5.0,5.1
49,"Semizoglou, Jeremiah  ",904013591,Sr. Network Engineer,no,N/A- too early to review,1.0,0,1,3,3.9,3.3,3.1,3.3,3.9,3.4,4.0,3.1,3.3,3.7
